No,Title,Maker,Catalog_No,Release_date,Genre,Proper_price,yomi_ja,PRG-ROM,CHR-ROM,MAP,Memory,Serial_number,Rarity,Memo
1,ドンキーコング,任天堂,HVC-DK,1983/7/15,ACT,4500,どんきーこんぐ,16K,8K,0,no,,,
2,ドンキーコングJr．,任天堂,HVC-JR,1983/7/15,ACT,4500,どんきーこんぐじゅにあ,16K,8K,0,no,,,
3,ポパイ,任天堂,HVC-PP,1983/7/15,ACT,4500,ぽぱい,16K,8K,0,no,,,
4,五目ならべ 連珠,任天堂,HVC-GO,1983/8/27,TAB,4500,ごもくならべ れんじゅ,16K,8K,0,no,,,
5,麻雀,任天堂,HVC-MJ,1983/8/27,TAB,4500,まーじゃん,16K,8K,0,no,,,
6,マリオブラザーズ,任天堂,HVC-MA,1983/9/9,ACT,4500,まりおぶらざーず,16K,8K,0,no,,,
7,ポパイの英語遊び,任天堂,HVC-EN,1983/11/22,ETC,4500,ぽぱいのえいごあそび,16K,8K,0,no,,,
8,ベースボール,任天堂,HVC-BA,1983/12/7,SPT,4500,べーすぼーる,16K,8K,0,no,,,
9,ドンキーコングJr．の算数遊び,任天堂,HVC-CA,1983/12/12,ETC,4500,どんきーこんぐじゅにあのさんすうあそび,16K,8K,0,no,,,
10,テニス,任天堂,HVC-TE,1984/1/14,SPT,4500,てにす,16K,8K,0,no,,,
11,ピンボール,任天堂,HVC-PN,1984/2/2,TAB,4500,ぴんぼーる,16K,8K,0,no,,,
12,ワイルドガンマン,任天堂,HVC-WG,1984/2/18,SHT,4500,わいるどがんまん,16K,8K,0,no,,,要[光]
13,ダックハント,任天堂,HVC-DH,1984/4/21,SHT,4500,だっくはんと,16K,8K,0,no,,,要[光]
14,ゴルフ,任天堂,HVC-GF,1984/5/1,SPT,4500,ごるふ,16K,8K,0,no,,,
15,ホーガンズアレイ,任天堂,HVC-HA,1984/6/12,SHT,4500,ほーがんずあれい,16K,8K,0,no,,,要[光]
16,ファミリーベーシック,任天堂,HVC-FB,1984/6/21,ETC,14800,ふぁみりーべーしっく,32K,8K,0,no,,,要[キーボード]
17,ドンキーコング3,任天堂,HVC-DT,1984/7/4,SHT,4500,どんきーこんぐ3,16K,8K,0,no,,,
18,ナッツ＆ミルク,ハドソン,HFC-NM,1984/7/28,ACT,4500,なっつ＆みるく,16K,8K,0,no,,,
19,ロードランナー,ハドソン,HFC-LR,1984/7/31,PZL,4500,ろーどらんなー,16K,8K,0,no,,,
20,ギャラクシアン,ナムコ,NGX-4500,1984/9/7,SHT,4500,ぎゃらくしあん,16K,8K,0,no,1,,
21,デビルワールド,任天堂,HVC-DD,1984/10/5,ACT,4500,でびるわーるど,16K,8K,0,no,,,
22,4人打ち麻雀,任天堂,HVC-FJ,1984/11/2,TAB,4500,よにんうち,16K,8K,0,no,,,
23,F1レース,任天堂,HVC-FR,1984/11/2,RAC,4500,えふわんれーす,16K,8K,0,no,,,
24,パックマン,ナムコ,NPM-4500,1984/11/2,ACT,4500,ぱっくまん,16K,8K,0,no,2,,
25,ゼビウス,ナムコ,NXV-4900,1984/11/8,SHT,4900,ぜびうす,32K,8K,0,no,3,,
26,アーバンチャンピオン,任天堂,HVC-UC,1984/11/14,ACT,4500,あーばんちゃんぴおん,16K,8K,0,no,,,
27,マッピー,ナムコ,NMP-4500,1984/11/14,ACT,4500,まっぴー,16K,8K,0,no,4,,
28,クルクルランド,任天堂,HVC-CL,1984/11/22,PZL,4500,くるくるらんど,16K,8K,0,no,,,
